Column_Name,Description,Expected_DataType_R,Expected_DataType_SQL,Key_Notes
VIN_(1-10),First 10 chars of vehicle VIN,character,VARCHAR(10),Duplicates expected (truncated VINs)
County,County of registration,character,VARCHAR(100),Trim whitespace; title case
City,City of registration,character,VARCHAR(100),Trim and title case
State,Two-letter USPS state code,character,CHAR(2),Limit to 50 U.S. states + DC; flag AP/AE/AA
Postal_Code,5-digit ZIP code,character,VARCHAR(10),Keep as text; retain leading zeros
Model_Year,Vehicle model year,numeric,INT,Should be â‰¤ current year + 1
Make,Manufacturer,character,VARCHAR(50),Uppercase standardization
Model,Vehicle model name,character,VARCHAR(50),Title case; fill blanks with 'Unknown'
Electric_Vehicle_Type,EV drivetrain type (BEV or PHEV),character,VARCHAR(60),Values: BEV / PHEV only
Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,CAFV program eligibility,character,VARCHAR(80),Simplify to Eligible / Not Eligible / Unknown
Electric_Range,Electric range (miles),numeric,INT,Numeric only; replace NAs with median if needed
Base_MSRP,Base MSRP (USD),numeric,"DECIMAL(10,2)",0 means missing; ensure proper numeric
Legislative_District,WA Legislative District ID,numeric,INT,Some blanks expected
DOL_Vehicle_ID,Unique vehicle ID (DOL record),numeric,BIGINT,Unique ID; verify integrity
Vehicle_Location,Point geometry (longitude/latitude),character,VARCHAR(100),Parse lon/lat if needed
Electric_Utility,Utility company,character,VARCHAR(100),Split if multiple utilities separated by '|'
2020_Census_Tract,Census tract code (2020),numeric,BIGINT,Geospatial reference
